RECTYPE,LEA,ESTAB,URN,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,PTEBACC_E_PTQ_EE,PTEBACC_PTQ_EE,PTL2BASICS_LL_PTQ_EE,PTAC5EM_PTQ_EE
1,212,5405,138682,0,ACC,144,48.3,0.16,-0.04,0.36,24%,15%,66%,58%
1,212,6403,132237,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,212,7077,101095,0,CYS,8,NE,SUPP,SUPP,SUPP,NE,NE,NE,NE
2,212,6408,101175,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,212,7207,101103,0,CYS,29,3.8,-2.01,-2.44,-1.59,0%,0%,0%,0%
2,212,7067,101093,0,CYS,10,NE,NE,NE,NE,NE,NE,NE,NE
2,212,7000,143175,0,ACS,,,,,,,,,
2,212,7209,131594,1,CYS,13,8.5,-2.20,-2.78,-1.62,0%,0%,0%,0%
2,212,7068,101094,0,CYS,12,1.6,-2.45,-3.18,-1.71,0%,0%,0%,0%
2,212,7183,101102,0,CYS,9,NE,NE,NE,NE,NE,NE,NE,NE
2,212,6041,136110,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,212,6405,134145,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,212,,,,,1675,51.6,0.14,0.09,0.19,58.0%,33.9%,68.8%,62.7%
1,213,6907,135242,0,AC,66,60.0,1.07,0.80,1.34,80%,73%,85%,80%
1,213,6384,101181,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,213,6046,101161,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,213,6037,101158,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,213,4628,138313,0,ACC,150,63.3,0.49,0.31,0.66,87%,66%,83%,83%
1,213,6389,100536,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,213,4000,140884,0,F,,,,,,,,,
1,213,6905,130912,0,AC,183,54.8,0.75,0.59,0.91,27%,22%,77%,71%
1,213,6908,135676,0,AC,197,52.9,0.28,0.13,0.44,73%,41%,68%,66%
1,213,6386,100541,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,213,6036,101157,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,213,4295,137646,0,ACC,209,48.9,-0.19,-0.34,-0.04,30%,18%,62%,55%
1,213,4723,101154,0,VA,147,55.0,0.49,0.31,0.67,52%,28%,76%,65%
1,213,4809,139369,0,ACC,150,48.5,-0.04,-0.22,0.14,19%,15%,49%,38%
1,213,4673,137353,0,ACC,153,63.0,0.41,0.24,0.59,69%,59%,92%,89%
1,213,6319,101172,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,213,6906,131262,0,AC,188,54.4,0.68,0.51,0.86,37%,27%,71%,66%
1,213,4687,138312,0,ACC,125,49.4,-0.36,-0.55,-0.16,34%,16%,59%,54%
1,213,6047,101162,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,213,7042,101182,0,CYS,7,NE,SUPP,SUPP,SUPP,NE,NE,NE,NE
2,213,6327,101173,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,213,7184,101184,0,CYS,8,NE,NE,NE,NE,NE,NE,NE,NE
4,213,,,,,1575,54.2,0.32,0.26,0.37,48.3%,33.5%,70.9%,65.6%
1,301,4703,101247,0,VA,181,54.2,0.31,0.15,0.47,33%,21%,70%,66%
1,301,4021,101241,0,CY,274,53.1,0.41,0.28,0.54,27%,18%,62%,58%
1,301,4704,136028,0,VC,206,48.6,0.36,0.20,0.52,49%,34%,61%,55%
1,301,4023,101243,0,CY,167,44.1,0.04,-0.14,0.23,18%,7%,44%,38%
